subject,subject_label,relation,object,object_label,sentence,source_url
Mercedes-Benz,ORG,celebrate_at,the end of January,DATE,"With a big show, Mercedes-Benz celebrated the new S-Class in its own museum at the end of January.",https://vision-mobility.de/en/news/profit-slump-at-mercedes-why-the-star-isnt-shining-very-brightly-right-now-389881.html?cmpscreencustom=
Källenius,PERSON,scrap_in,February 2024,DATE,"In February 2024, Källenius scrapped the strategy and highlighted the “strategic flexibility” with respect to the combustion engine.",https://vision-mobility.de/en/news/profit-slump-at-mercedes-why-the-star-isnt-shining-very-brightly-right-now-389881.html?cmpscreencustom=
China,GPE,remain_for,Mercedes,ORG,China remains the most important country for Mercedes.,https://vision-mobility.de/en/news/profit-slump-at-mercedes-why-the-star-isnt-shining-very-brightly-right-now-389881.html?cmpscreencustom=
Mercedes,ORG,sell_in,the past year,DATE,"Overall, Mercedes sold a little over 1.8 million passenger cars in the past year, which corresponds to a decline of nine percent compared with 2024.",https://vision-mobility.de/en/news/profit-slump-at-mercedes-why-the-star-isnt-shining-very-brightly-right-now-389881.html?cmpscreencustom=
US,GPE,hit,Mercedes,ORG,"The US tariff policy under President Donald Trump also hits Mercedes hard, says Bratzel.",https://vision-mobility.de/en/news/profit-slump-at-mercedes-why-the-star-isnt-shining-very-brightly-right-now-389881.html?cmpscreencustom=
Mercedes,ORG,have_in,Germany,GPE,"Mercedes has a cost problem in Germany because personnel costs here are comparatively high, says Bratzel.",https://vision-mobility.de/en/news/profit-slump-at-mercedes-why-the-star-isnt-shining-very-brightly-right-now-389881.html?cmpscreencustom=
Toyota,ORG,mirror,BMW,ORG,"Regardless, Toyota’s current approach mirrors BMW’s by refusing to artificially limit customer choice.",https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/
BMW,ORG,shut_after,40 Years,DATE,"Then A Worker Tells Her Something Unexpected
An Iconic BMW Tuner Is Shutting Down After 40 Years
The Toyota Celica Sport Could Have AWD And A 2.0-Liter Turbo Engine",https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/
Jaguar Land Rover Automotive PLC,ORG,own_by,Tata Motors,ORG,Jaguar Land Rover Automotive PLC has been owned by India’s Tata Motors since 2008 and spent the last several years running through CEOs.,https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
Jaguar Land Rover Automotive PLC,ORG,spend,the last several years,DATE,Jaguar Land Rover Automotive PLC has been owned by India’s Tata Motors since 2008 and spent the last several years running through CEOs.,https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
Matt,PERSON,spend,a decade,DATE,"Before joining TTAC, Matt spent a decade working for marketing and research firms based in NYC.",https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
Gates,PERSON,define,MS,ORG,"Gates defined MS, Ellison defines Oracle, Buffet defines Berkshire, Bezos defines Amazon, and so on",https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
Ellison,PERSON,define,Oracle,ORG,"Gates defined MS, Ellison defines Oracle, Buffet defines Berkshire, Bezos defines Amazon, and so on",https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
Buffet,PERSON,define,Berkshire,ORG,"Gates defined MS, Ellison defines Oracle, Buffet defines Berkshire, Bezos defines Amazon, and so on",https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
Bezos,PERSON,define,Amazon,ORG,"Gates defined MS, Ellison defines Oracle, Buffet defines Berkshire, Bezos defines Amazon, and so on",https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
China,GPE,maintain_in,2024,DATE,"China maintained its lead, with electric cars accounting for almost half of all car sales in 2024; the over 11 million electric cars sold in China last year were more than global sales just 2 years ea",https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
NigelShiftright,PERSON,consider,VW,ORG,NigelShiftright Had not considered VW for my next purchase.,https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
the Executive Board,ORG,intend_for,the 2025 financial year,DATE,"For the 2025 financial year, the Executive Board intends to propose the distribution of a dividend, that would significantly exceed the communicated medium-term dividend policy of approximately 50% of",https://newsroom.porsche.com/en/2025/company/porsche-realignment-product-strategy-40594.html
2026,DATE,start_at,"129,950",MONEY,"The 2026 Carrera starts at $129,950, an increase of over $7,500 compared to 2025.",https://www.motor1.com/news/760050/porsche-faces-trouble-evs-suvs/
Blume,PERSON,tell,Autonews,ORG,"But, as Blume told Autonews, “These are challenging times for Porsche, too,” and the executive is working to make the company “even more robust” in the face of increased competition in China, politica",https://www.motor1.com/news/760050/porsche-faces-trouble-evs-suvs/
Porsche,ORG,start_in,the second half of this year,DATE,"In the second half of this year, Porsche will start negotiations with employee representatives on a second package of measures, as announced.",https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
Porsche,ORG,deliver_in,the first half of this year,DATE,"In the first half of this year, Porsche delivered 146,391 vehicles to its customers worldwide.",https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
Volkswagen,ORG,disclose_on,Monday,DATE,"Volkswagen disclosed the plans to shut two German factories – one making cars and one components – to its works council on Monday, prompting fury from staff representatives and politicians.",https://www.theguardian.com/business/article/2024/sep/04/volkswagen-has-a-year-maybe-two-to-turn-around-financial-chief-warns
Volvo,ORG,say_on,Wednesday,DATE,"Volvo said on Wednesday it would aim for more than 90% of its global sales to be “electrified” by 2030, a definition that includes fully electric cars as well as plug-in hybrids that combine a smaller",https://www.theguardian.com/business/article/2024/sep/04/volkswagen-has-a-year-maybe-two-to-turn-around-financial-chief-warns
VW,ORG,decline_in,Frankfurt,GPE,"VW’s stock declined as much as 2% in Frankfurt, taking this year’s drop to 15%.",https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/
Volkswagen,ORG,warn_on,Friday,DATE,"Volkswagen on Friday warned that global deliveries will drop to around 9 million units this year, from 9.24 million in 2023.",https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/
Blume,PERSON,describe,2024,DATE,"Blume described 2024 as a landmark year with an unparalleled product push, strong fundamentals, and crucial decisions to prepare for the challenges ahead.",https://www.motortrend.com/news/volkswagen-2024-financial-results-us-regroup-plan
Volkswagen,ORG,end,the year,DATE,"But Volkswagen ended the year with a slight increase in sales revenue to $353.6 billion (324.7 billion euros), up from $351.0 billion (E322.3 billion) in 2023 because of a boost from the Financial Ser",https://www.motortrend.com/news/volkswagen-2024-financial-results-us-regroup-plan
Jeff Kommor,PERSON,tell,The Detroit News,ORG,"""2026 is the year of execution, and we're counting on our dealers to deliver,"" Jeff Kommor, who leads U.S. sales for Stellantis, told The Detroit News after the meeting.",https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/
Carlos Tavares,PERSON,resign_in,December 2024,DATE,The company also didn't have a CEO in place until June after Carlos Tavares resigned in December 2024.,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/
Stellantis,ORG,lose,$26 Billion,MONEY,"Stellantis Lost $26 Billion, Now It’s Betting on Jeeps and V-8s",https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
Stellantis,ORG,finish,the year,DATE,"Stellantis reported a net loss of $23.8 billion in the second half of 2025, as well as a hefty operating loss, to finish the year in the red with a total net loss of $26.2 billion.",https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
Ram,ORG,launch_in,the first half of this year,DATE,Ram also launched a new Express and will launch the Ram 1500 SRT TRX in the first half of this year.,https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
Stellantis,ORG,launch_in,2025,DATE,Stellantis launched 10 new models globally in 2025 and anticipates growth from the new models coming this year including the Jeep Recon electric SUV.,https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
Ford,ORG,take_in,December,DATE,Ford took a $19.5 billion hit in December and GM reported it will take a $6 billion charge.,https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
Ram,ORG,go_with,Ram,ORG,"Ram is going with an extended-range hybrid Ram instead, where there is a gasoline engine onboard that acts as a generator for the motors that power the truck.",https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
Stellantis,ORG,build_with,LG Energy Solution,ORG,"Stellantis also built a battery plant in Windsor, Ontario, with partner LG Energy Solution but this month the carmaker said it is selling its 49 percent stake in the NextStar Energy plant to LG.",https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
